"","State","Average.Crime.Rate","Poverty.Count","Poverty.Count.90..Confidence.Interval","Poverty.Rate","Poverty.Rate.90..Confidence.Interval"
"1","AK",624.4,79428,"75,273 to 83,583",11,"10.4 to 11.6"
"2","AL",497.3,802263,"784,517 to 820,009",16.9,"16.5 to 17.3"
"3","AR",519.1,475883,"463,966 to 487,800",16.3,"15.9 to 16.7"
"4","AZ",489,1023337,"1,002,773 to 1,043,901",14.9,"14.6 to 15.2"
"5","CA",420.8,5164169,"5,111,205 to 5,217,133",13.3,"13.2 to 13.4"
"6","CO",438.5,566118,"552,126 to 580,110",10.3,"10.0 to 10.6"
"7","CT",285.4,338651,"326,360 to 350,942",9.7,"9.3 to 10.1"
"8","DC",755.6,109502,"104,105 to 114,899",16.6,"15.8 to 17.4"
"9","DE",413.4,121592,"116,181 to 127,003",13,"12.4 to 13.6"
"10","FL",417.2,2901876,"2,860,804 to 2,942,948",14.1,"13.9 to 14.3"
"11","GA",459.6,1536069,"1,503,877 to 1,568,261",15.1,"14.8 to 15.4"
"12","HI",440,132201,"126,481 to 137,921",9.5,"9.1 to 9.9"
"13","IA",345.5,328629,"319,716 to 337,542",10.8,"10.5 to 11.1"
"14","ID",266,211937,"203,631 to 220,243",12.6,"12.1 to 13.1"
"15","IL",350,1568670,"1,543,257 to 1,594,083",12.5,"12.3 to 12.7"
"16","IN",402.3,860753,"841,903 to 879,603",13.3,"13.0 to 13.6"
"17","KS",459.1,335371,"325,420 to 345,322",11.9,"11.5 to 12.3"
"18","KY",336.4,738563,"723,378 to 753,748",17.1,"16.7 to 17.5"
"19","LA",560.5,893827,"875,670 to 911,984",19.6,"19.2 to 20.0"
"20","MA",256.4,692943,"675,076 to 710,810",10.5,"10.2 to 10.8"
"21","MD",388.9,556549,"541,127 to 571,971",9.4,"9.1 to 9.7"
"22","ME",232.6,147413,"141,958 to 152,868",11.3,"10.9 to 11.7"
"23","MI",321.4,1373358,"1,351,618 to 1,395,098",14.1,"13.9 to 14.3"
"24","MN",347.1,517348,"505,806 to 528,890",9.5,"9.3 to 9.7"
"25","MO",480.6,793001,"776,721 to 809,281",13.4,"13.1 to 13.7"
"26","MS",431.4,573717,"561,749 to 585,685",19.9,"19.5 to 20.3"
"27","MT",424.1,130616,"125,024 to 136,208",12.7,"12.2 to 13.2"
"28","NC",415.6,1468032,"1,442,873 to 1,493,191",14.7,"14.4 to 15.0"
"29","ND",354.1,74057,"70,249 to 77,865",10.2,"9.7 to 10.7"
"30","NE",368.6,198984,"191,439 to 206,529",10.7,"10.3 to 11.1"
"31","NH",225.8,100550,"95,275 to 105,825",7.7,"7.3 to 8.1"
"32","NJ",254.9,882132,"862,408 to 901,856",10,"9.8 to 10.2"
"33","NM",675,388790,"378,032 to 399,548",19,"18.5 to 19.5"
"34","NV",452.6,392857,"379,792 to 405,922",13.3,"12.9 to 13.7"
"35","NY",267.3,2735578,"2,700,018 to 2,771,138",14.1,"13.9 to 14.3"
"36","OH",388.1,1575401,"1,551,281 to 1,599,521",13.9,"13.7 to 14.1"
"37","OK",476.1,600911,"589,591 to 612,231",15.8,"15.5 to 16.1"
"38","OR",466.9,534846,"521,125 to 548,567",13.2,"12.9 to 13.5"
"39","PA",280.4,1548557,"1,524,709 to 1,572,405",12.5,"12.3 to 12.7"
"40","RI",283.4,125208,"118,956 to 131,460",12.3,"11.7 to 12.9"
"41","SC",528.9,750359,"735,356 to 765,362",15.4,"15.1 to 15.7"
"42","SD",330,107522,"103,234 to 111,810",12.8,"12.3 to 13.3"
"43","TN",513.2,980394,"961,862 to 998,926",15,"14.7 to 15.3"
"44","TX",428.8,4080377,"4,036,102 to 4,124,652",14.7,"14.5 to 14.9"
"45","UT",431.3,296138,"284,801 to 307,475",9.7,"9.3 to 10.1"
"46","VA",285.8,876438,"856,763 to 896,113",10.7,"10.5 to 10.9"
"47","VT",228.9,65068,"61,032 to 69,104",10.8,"10.1 to 11.5"
"48","WA",496.9,799675,"781,803 to 817,547",11,"10.8 to 11.2"
"49","WI",304,640174,"627,066 to 653,282",11.3,"11.1 to 11.5"
"50","WV",314.7,326502,"316,875 to 336,129",18.5,"18.0 to 19.0"
"51","WY",295.4,61319,"57,678 to 64,960",10.8,"10.2 to 11.4"
