"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","01","01000","Alabama","4,752,519","802,263","784,517","820,009","784,517 to 820,009","16.9","16.5","17.3","16.5 to 17.3","1,079,561","262,909","253,694","272,124","253,694 to 272,124","24.4","23.5","25.3","23.5 to 25.3","790,771","180,594","172,412","188,776","172,412 to 188,776","22.8","21.8","23.8","21.8 to 23.8","285,282","78,986","75,009","82,963","75,009 to 82,963","27.7","26.3","29.1","26.3 to 29.1","$48,193","$47,451","$48,935","$47,451 to $48,935"
"2017","02","02000","Alaska","720,474","79,428","75,273","83,583","75,273 to 83,583","11.0","10.4","11.6","10.4 to 11.6","179,595","26,079","23,957","28,201","23,957 to 28,201","14.5","13.3","15.7","13.3 to 15.7","126,482","16,855","15,080","18,630","15,080 to 18,630","13.3","11.9","14.7","11.9 to 14.7","51,852","8,208","7,145","9,271","7,145 to 9,271","15.8","13.7","17.9","13.7 to 17.9","$74,058","$72,099","$76,017","$72,099 to $76,017"
"2017","04","04000","Arizona","6,856,072","1,023,337","1,002,773","1,043,901","1,002,773 to 1,043,901","14.9","14.6","15.2","14.6 to 15.2","1,601,125","336,150","324,723","347,577","324,723 to 347,577","21.0","20.3","21.7","20.3 to 21.7","1,169,122","230,386","220,457","240,315","220,457 to 240,315","19.7","18.9","20.5","18.9 to 20.5","424,424","99,130","93,773","104,487","93,773 to 104,487","23.4","22.1","24.7","22.1 to 24.7","$56,508","$55,999","$57,017","$55,999 to $57,017"
"2017","05","05000","Arkansas","2,916,343","475,883","463,966","487,800","463,966 to 487,800","16.3","15.9","16.7","15.9 to 16.7","693,313","155,878","149,187","162,569","149,187 to 162,569","22.5","21.5","23.5","21.5 to 23.5","503,209","106,559","100,772","112,346","100,772 to 112,346","21.2","20.0","22.4","20.0 to 22.4","186,637","46,339","43,141","49,537","43,141 to 49,537","24.8","23.1","26.5","23.1 to 26.5","$45,916","$45,181","$46,651","$45,181 to $46,651"
"2017","06","06000","California","38,793,030","5,164,169","5,111,205","5,217,133","5,111,205 to 5,217,133","13.3","13.2","13.4","13.2 to 13.4","8,922,696","1,615,913","1,586,526","1,645,300","1,586,526 to 1,645,300","18.1","17.8","18.4","17.8 to 18.4","6,466,584","1,123,318","1,097,717","1,148,919","1,097,717 to 1,148,919","17.4","17.0","17.8","17.0 to 17.8","2,414,832","453,522","440,023","467,021","440,023 to 467,021","18.8","18.2","19.4","18.2 to 19.4","$71,785","$71,492","$72,078","$71,492 to $72,078"
"2017","08","08000","Colorado","5,483,100","566,118","552,126","580,110","552,126 to 580,110","10.3","10.0","10.6","10.0 to 10.6","1,241,073","151,899","143,486","160,312","143,486 to 160,312","12.2","11.5","12.9","11.5 to 12.9","909,099","103,485","96,204","110,766","96,204 to 110,766","11.4","10.6","12.2","10.6 to 12.2","327,292","44,196","40,042","48,350","40,042 to 48,350","13.5","12.2","14.8","12.2 to 14.8","$69,113","$68,361","$69,865","$68,361 to $69,865"
"2017","09","09000","Connecticut","3,482,563","338,651","326,360","350,942","326,360 to 350,942","9.7","9.3","10.1","9.3 to 10.1","735,469","95,569","89,324","101,814","89,324 to 101,814","13.0","12.2","13.8","12.2 to 13.8","552,836","67,750","62,374","73,126","62,374 to 73,126","12.3","11.3","13.3","11.3 to 13.3","180,532","25,638","22,687","28,589","22,687 to 28,589","14.2","12.6","15.8","12.6 to 15.8","$74,428","$73,203","$75,653","$73,203 to $75,653"
"2017","10","10000","Delaware","934,947","121,592","116,181","127,003","116,181 to 127,003","13.0","12.4","13.6","12.4 to 13.6","199,811","35,291","32,862","37,720","32,862 to 37,720","17.7","16.5","18.9","16.5 to 18.9","146,930","23,452","21,452","25,452","21,452 to 25,452","16.0","14.6","17.4","14.6 to 17.4","52,404","11,176","9,870","12,482","9,870 to 12,482","21.3","18.8","23.8","18.8 to 23.8","$64,085","$62,201","$65,969","$62,201 to $65,969"
"2017","11","11000","District of Columbia","660,640","109,502","104,105","114,899","104,105 to 114,899","16.6","15.8","17.4","15.8 to 17.4","123,404","32,353","29,285","35,421","29,285 to 35,421","26.2","23.7","28.7","23.7 to 28.7","78,774","20,504","17,854","23,154","17,854 to 23,154","26.0","22.6","29.4","22.6 to 29.4","44,549","11,445","9,994","12,896","9,994 to 12,896","25.7","22.4","29.0","22.4 to 29.0","$80,153","$78,132","$82,174","$78,132 to $82,174"
"2017","12","12000","Florida","20,569,893","2,901,876","2,860,804","2,942,948","2,860,804 to 2,942,948","14.1","13.9","14.3","13.9 to 14.3","4,138,314","850,924","829,310","872,538","829,310 to 872,538","20.6","20.1","21.1","20.1 to 21.1","3,007,194","589,055","570,357","607,753","570,357 to 607,753","19.6","19.0","20.2","19.0 to 20.2","1,111,440","244,308","234,289","254,327","234,289 to 254,327","22.0","21.1","22.9","21.1 to 22.9","$52,582","$52,221","$52,943","$52,221 to $52,943"
